id,pestle,titulo,autor,fuente,url,fecha_publicacion,fecha_captura,palabras_clave,alcance,horizonte,tipo_hallazgo,descripcion,como_cambia,stakeholders,efecto,impacto,probabilidad,plausibilidad,novedad,oportunidad_temporal,sombrero_mad_hatter,nivel_kuosa,futuros_integrales,foda,arquetipo_dator,cla,horizonte_ord,ambito
S01,Político,México y EE. UU. concluyen la tercera ronda de revisión conjunta del T-MEC; cuarta ronda en septiembre,El Financiero (redacción),El Financiero,https://www.elfinanciero.com.mx/economia/2026/07/24/termina-tercera-ronda-para-revisar-el-t-mec-con-avances-entre-mexico-y-eu/,2026-07-24,2026-08-17,"T-MEC, revisión conjunta, reglas de origen, USTR",México y el mundo,Mediano (3-6 años),Tendencia ya identificada,"La revisión conjunta del T-MEC entra en una cuarta ronda sin acuerdos definitivos; persisten temas abiertos de seguridad económica, acero, aluminio y automotriz.","Antes: certidumbre de 30 años de acceso preferencial. Después: revisión anual obligatoria hasta 2036, con renegociación continua de reglas de origen.","Empresas exportadoras mexicanas, gobierno federal, industria automotriz y de autopartes",Confirma escenario actual,5,5,5,1,1,Blanco,Driver top-down (Cambio institucionalizado),Sistémico,Amenaza,Continuidad,Sistemas,2,México y el mundo
S02,Político,"Estados Unidos designa al Cartel de los Soles como Organización Terrorista Extranjera, con Maduro señalado como líder",U.S. Department of State,Departamento de Estado de EE. UU.,https://www.state.gov/releases/office-of-the-spokesperson/2025/11/terrorist-designations-of-cartel-de-los-soles,2025-11-16,2026-08-17,"narcoterrorismo, designación FTO, Venezuela, uso de fuerza",Global,Mediano (3-6 años),Nuevo plan / intención,"La designación de un cártel como organización terrorista amplía las herramientas legales de EE. UU., incluyendo potencialmente las militares, contra un gobierno extranjero.",Antes: el combate al narcotráfico se enmarcaba en cooperación policial y sanciones económicas. Después: se abre la puerta jurídica a opciones militares directas.,"Gobiernos de América Latina, organismos multilaterales, empresas con operaciones regionales",Crea nuevo escenario,3,3,4,3,2,Negro,Driver top-down (Cambio institucionalizado),Sistémico,Amenaza,Sociedad disciplinada,Sistemas,2,Global
S03,Político,La UE pide a Marruecos usar todo el margen posible tras nuevos cruces migratorios en Ceuta,Reuters (redacción),Reuters,https://www.reuters.com/world/africa/eu-should-use-all-leverage-secure-moroccos-cooperation-eu-migration-chief-says-2026-08-06/,2026-08-06,2026-08-17,"migración, Ceuta, Marruecos, frontera, presión diplomática",Global,Largo (6-10 años),Tendencia ya identificada,Flujos migratorios recurrentes en fronteras del Mediterráneo siguen forzando despliegues y tensiones diplomáticas bilaterales.,Antes: la migración se gestionaba como asunto humanitario bilateral. Después: se convierte en palanca de negociación política y comercial entre bloques.,"Uniòn Europea, Marruecos, aseguradoras de riesgo país, empresas con exposición migratoria",Confirma escenario actual,1,2,4,3,4,Blanco,Tendencia bloqueadora (contrafuerza),Comportamental,Amenaza,Sociedad disciplinada,Sistemas,3,Global
S04,Político,"La Secretaría de Marina asume la administración de aeropuertos civiles, mientras un analista de defensa cuestiona la viabilidad de sus capacidades navales","Forbes México (redacción); análisis de Christian J. Ehrlich, Riskop / ISDR",Forbes México; mxdefenseandsecurity.com (Ehrlich),https://www.unotv.com/nacional/por-que-la-semar-controla-aduanas-y-desde-cuando-cronologia/,2025-09-09,2026-08-17,"Marina, poder marítimo, consciencia marítima, seguridad nacional",México,Largo (6-10 años),Tendencia ya identificada,La Marina administra aeropuertos civiles y participa en tareas migratorias y aduanales; se cuestiona si esta dispersión de tareas es compatible con relanzar la construcción naval y las capacidades marítimas de la institución.,"Antes: la Marina concentraba doctrina y presupuesto en el dominio marítimo. Después: dispersa capacidad institucional en tareas no marítimas (aeropuertos, migración, aduanas), mientras el propio Programa Sectorial 2025-2030 declara una 'Visión 2030: México como Nación Marítima' que exige lo contrario.","Secretaría de Marina, sector pesquero, seguridad de rutas marítimas nacionales, industria naval",Crea nuevo escenario,2,3,3,4,3,Negro,Driver top-down (Cambio institucionalizado),Sistémico,Debilidad,Transformación,Cosmovisiones,3,México
S05,Económico,China impone aranceles de entre 17.8% y 51.6% a la nuez pecana mexicana,Líder Empresarial (redacción),Líder Empresarial,https://www.liderempresarial.com/nuez-mexicana-estados-lideres-valor-exportaciones/,2026-08-11,2026-08-17,"nuez pecana, aranceles, China, agroexportación",México,Corto (1-3 años),Hecho actual,Aranceles provisionales elevan el costo de entrada de la nuez pecana mexicana a uno de sus principales mercados fuera de Norteamérica.,Antes: China era un mercado alterno viable frente a la dependencia de EE. UU. Después: ese mercado alterno se encarece hasta volverse inviable.,"Productores de nuez pecana en el norte de México, cámaras agroexportadoras",Crea nuevo escenario,3,5,5,2,1,Blanco,Tendencia bloqueadora (contrafuerza),Sistémico,Amenaza,Colapso,Sistemas,1,México
S06,Económico,El Estrecho de Ormuz canaliza cerca de 25% del comercio mundial de petróleo y 19% del de GNL,Congressional Research Service,Library of Congress (CRS),https://www.congress.gov/crs-product/R45281,2026-08-07,2026-08-17,"Ormuz, petróleo, GNL, Irán, punto de estrangulamiento",Global,Corto (1-3 años),Tendencia ya identificada,"La estrechez del paso, la falta de rutas alternas y la escalada militar EE. UU.-Irán mantienen al Estrecho de Ormuz como punto crítico de riesgo energético global.","Antes: el precio del petróleo respondía a oferta y demanda. Después: reacciona a declaraciones políticas y ataques puntuales, con mayor volatilidad.","Importadores de energía, sector transporte, Banco de México (política monetaria)",Confirma escenario actual,4,4,5,1,1,Blanco,Megatendencia/Tendencia,Sistémico,Amenaza,Continuidad,Sistemas,1,Global
S07,Económico,La guerra en Ucrania encareció hasta 50% el costo de alimento para una porcícola mexicana por el alza de granos,El Financiero (redacción),El Financiero,https://www.elfinanciero.com.mx/empresas/2022/04/06/guerra-en-ucrania-tambien-pegara-al-precio-de-tus-tacos-de-carnitas-te-decimos-por-que/,2022-04-06,2026-08-17,"Ucrania, granos, porcicultura, cadena de suministro agrícola",México y el mundo,Mediano (3-6 años),Nuevo tema / problema,Un conflicto geográficamente lejano eleva el costo de insumos agrícolas para una empresa mexicana con presencia regional en Yucatán.,Antes: el costo del alimento porcino dependía de condiciones locales. Después: queda expuesto a shocks geopolíticos en otro continente.,"Empresas porcícolas y avícolas mexicanas, consumidores finales",Crea nuevo escenario,2,3,4,1,1,Blanco,Driver push (Fuerzas entorno),Sistémico,Amenaza,Transformación,Sistemas,2,México y el mundo
S08,Económico,EE. UU. busca cerrar vacíos de reglas de origen del T-MEC para limitar el aprovechamiento de terceros países,USTR,Oficina del Representante Comercial de EE. UU. (USTR),https://www.ustr.gov/about/policy-offices/press-office/press-releases/2026/july/united-states-and-mexico-convene-mexico-city-third-bilateral-negotiating-round-related-joint-review,2026-07-17,2026-08-17,"reglas de origen, T-MEC, contenido regional, autopartes",México,Mediano (3-6 años),Evento potencial,"La revisión del T-MEC busca elevar el contenido regional exigido, lo que puede obligar a sustituir proveedores extrarregionales en autopartes y electrónica.",Antes: cumplir el T-MEC era relativamente estable. Después: cumplir puede requerir rediseñar la cadena de proveedores completa.,"Industria automotriz y de autopartes, despachos de cumplimiento comercial",Crea nuevo escenario,4,4,4,2,1,Negro,Driver top-down (Cambio institucionalizado),Sistémico,Amenaza,Transformación,Sistemas,2,México
S09,Económico,México enfrenta un segundo y más profundo choque económico por la competencia comercial EE. UU.-China,"Shannon K. O'Neil, Council on Foreign Relations",Council on Foreign Relations / Bloomberg Opinion,https://www.cfr.org/articles/mexico-facing-second-and-worse-china-shock,2025-07-17,2026-08-17,"nearshoring, China, semiconductores, cadenas de suministro",México y el mundo,Mediano (3-6 años),Nueva información,"México queda entre dos potencias: expuesto a aranceles de EE. UU. y, a la vez, a un aumento de importaciones chinas que amenaza su manufactura de mayor valor agregado.",Antes: el nearshoring se veía como ventaja automática para México. Después: exige demostrar trazabilidad de origen y sustituir insumos asiáticos bajo presión de tiempo.,"Industria manufacturera y electrónica en México, empleo formal en el sector",Crea nuevo escenario,4,4,4,2,2,Blanco,Tendencia bloqueadora (contrafuerza),Sistémico,Amenaza,Transformación,Sistemas,2,México y el mundo
S10,Social,EE. UU. prioriza la eliminación del CJNG mediante cooperación internacional y combate a sus finanzas,U.S. Department of Justice / State Department,Departamento de Justicia de EE. UU.,https://www.justice.gov/opa/video/doj-state-dept-announce-latest-enforcement-efforts-eliminate-cartel-jalisco-nueva,2026-08-05,2026-08-17,"CJNG, crimen organizado, cooperación binacional, seguridad",México,Mediano (3-6 años),Nuevo plan / intención,"Estados Unidos reitera al CJNG como amenaza prioritaria transnacional, con foco en cooperación internacional y ataque a sus finanzas.",Antes: el combate al crimen organizado se percibía como asunto doméstico mexicano. Después: se coordina explícitamente como prioridad de seguridad binacional.,"Gobierno mexicano, sector exportador con exposición reputacional, comunidades afectadas",Crea nuevo escenario,3,4,4,1,1,Amarillo,Driver top-down (Cambio institucionalizado),Sistémico,Oportunidad,Transformación,Sistemas,2,México
